Date,NVDA_Close_NVDA,NVDA_High_NVDA,NVDA_Low_NVDA,NVDA_Open_NVDA,NVDA_Volume_NVDA,^GSPC_Close_^GSPC,^GSPC_High_^GSPC,^GSPC_Low_^GSPC,^GSPC_Open_^GSPC,^GSPC_Volume_^GSPC
2022-02-14,24.22671127319336,24.833701652225905,23.715560277682595,23.894263948675658,440424000,4401.669921875,4426.22021484375,4364.83984375,4412.60986328125,4600390000
2022-02-15,26.45100975036621,26.50092597097795,24.74285017482241,24.90757522618656,699869000,4471.06982421875,4472.77001953125,4429.27978515625,4429.27978515625,4430830000
2022-02-16,26.466983795166016,26.537866965853834,25.509576376590644,26.21540328445348,732676000,4475.009765625,4489.5498046875,4429.68017578125,4455.75,4283640000
2022-02-17,24.46630859375,25.742186483134226,24.124877394367978,25.587443159331453,810595000,4380.259765625,4456.06005859375,4373.81005859375,4456.06005859375,4539420000
2022-02-18,23.602745056152344,24.944513343436252,23.06164517495329,24.627040558027012,761255000,4348.8701171875,4394.60009765625,4327.22021484375,4384.56982421875,4708060000
2022-02-22,23.351163864135742,24.024044576695577,22.961812008973915,22.99675374447912,633422000,4304.759765625,4362.1201171875,4267.10986328125,4332.740234375,5121900000
2022-02-23,22.34983253479004,24.11489887873419,22.26397677324751,23.76248428479075,566511000,4225.5,4341.509765625,4221.509765625,4324.93017578125,4797430000
2022-02-24,23.708566665649414,23.7604803675986,20.855312449085257,20.980104891991093,735801000,4288.7001953125,4294.72998046875,4114.64990234375,4155.77001953125,6752130000
2022-02-25,24.116891860961914,24.176791710137138,23.342181178525813,23.68161683082187,528866000,4384.64990234375,4385.33984375,4286.830078125,4298.3798828125,5177060000
2022-02-28,24.344511032104492,24.62404680167832,23.667637295528454,23.95216392519215,477319000,4373.93994140625,4388.83984375,4315.1201171875,4354.169921875,6071370000
2022-03-01,23.438016891479492,24.33652400952197,23.093590432350926,24.25066636648078,412056000,4306.259765625,4378.4501953125,4279.5400390625,4363.14013671875,5846230000
2022-03-02,24.18390464782715,24.372624066003727,23.380105925835814,23.720597343022494,389642000,4386.5400390625,4401.47998046875,4322.56005859375,4322.56005859375,5337870000
2022-03-03,23.67866325378418,24.28975079365698,23.434027502861042,24.225845081578246,365095000,4363.490234375,4416.77978515625,4345.56005859375,4401.31005859375,5039890000
2022-03-04,22.901819229125977,23.64470992553815,22.44849535444989,23.349151527595453,431415000,4328.8701171875,4342.1201171875,4284.97998046875,4342.1201171875,5797380000
2022-03-07,21.320180892944336,22.998677555771746,21.298214316888117,22.782997926966594,450821000,4201.08984375,4327.009765625,4199.85009765625,4327.009765625,6940470000
2022-03-08,21.4819393157959,22.339658469044437,20.619226547130868,21.277244887363725,557467000,4170.7001953125,4276.93994140625,4157.8701171875,4202.66015625,7243120000
2022-03-09,22.97970199584961,23.185394367769312,22.213844863846813,22.353635611315923,492742000,4277.8798828125,4299.39990234375,4223.10009765625,4223.10009765625,5662670000
2022-03-10,22.624229431152344,22.754034829521093,21.849385075979306,22.49741791582181,428066000,4259.52001953125,4268.27978515625,4209.7998046875,4252.5498046875,4980830000
2022-03-11,22.067062377929688,23.110504978403807,22.013142006709252,22.98768720151544,367209000,4204.31005859375,4291.009765625,4200.490234375,4279.5,4938640000
2022-03-14,21.2982120513916,22.228822309416955,21.127467363192725,21.836408343571552,385354000,4173.10986328125,4247.56982421875,4161.72021484375,4202.75,5574920000
